,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2017,1,1,0,0,0,0,0,0.9,-2.0,89.01
1,2017,1,1,0,30,0,0,0,1.0,-3.0,94.0
2,2017,1,1,1,0,0,0,0,1.2000000000000002,-4.0,99.2
3,2017,1,1,1,30,0,0,0,1.3,-4.0,104.57
4,2017,1,1,2,0,0,0,0,1.5,-5.0,110.07
5,2017,1,1,2,30,0,0,0,1.5,-5.0,115.68
6,2017,1,1,3,0,0,0,0,1.6,-6.0,121.35
7,2017,1,1,3,30,0,0,0,1.6,-6.0,127.07
8,2017,1,1,4,0,0,0,0,1.7000000000000002,-6.0,132.78
9,2017,1,1,4,30,0,0,0,1.7000000000000002,-6.0,138.45000000000002
10,2017,1,1,5,0,0,0,0,1.7000000000000002,-7.0,144.0
11,2017,1,1,5,30,0,0,0,1.6,-7.0,149.34
12,2017,1,1,6,0,0,0,0,1.6,-7.0,154.29
13,2017,1,1,6,30,0,0,0,1.6,-7.0,158.53
14,2017,1,1,7,0,0,0,0,1.6,-8.0,161.57
15,2017,1,1,7,30,0,0,0,1.6,-8.0,162.72
16,2017,1,1,8,0,0,0,0,1.6,-8.0,161.62
17,2017,1,1,8,30,0,0,0,1.7000000000000002,-8.0,158.63
18,2017,1,1,9,0,0,0,0,1.8,-8.0,154.4
19,2017,1,1,9,30,0,0,0,1.9,-8.0,149.47
20,2017,1,1,10,0,0,0,0,2.0,-9.0,144.13
21,2017,1,1,10,30,0,0,0,2.0,-9.0,138.58
22,2017,1,1,11,0,0,0,0,2.1,-9.0,132.92000000000002
23,2017,1,1,11,30,0,0,0,2.1,-9.0,127.2
24,2017,1,1,12,0,0,0,0,2.2,-9.0,121.48
25,2017,1,1,12,30,0,0,0,2.1,-9.0,115.8
26,2017,1,1,13,0,0,0,0,2.1,-9.0,110.19
27,2017,1,1,13,30,0,0,0,2.0,-9.0,104.68
28,2017,1,1,14,0,0,0,0,2.0,-9.0,99.31
29,2017,1,1,14,30,0,0,0,2.0,-8.0,94.1
30,2017,1,1,15,0,0,0,0,2.0,-8.0,89.10000000000002
31,2017,1,1,15,30,76,31,465,2.0,-6.0,84.37
32,2017,1,1,16,0,156,46,627,2.1,-5.0,79.94
33,2017,1,1,16,30,235,57,729,2.5,-2.0,75.88
34,2017,1,1,17,0,134,122,38,3.0,0.0,72.25
35,2017,1,1,17,30,161,145,45,2.8000000000000003,0.0,69.14
36,2017,1,1,18,0,326,135,481,2.7,1.0,66.61
37,2017,1,1,18,30,460,84,880,2.7,1.0,64.74
38,2017,1,1,19,0,482,88,885,2.8000000000000003,2.0,63.58
39,2017,1,1,19,30,490,89,888,2.8000000000000003,2.0,63.18
40,2017,1,1,20,0,482,89,881,2.8000000000000003,3.0,63.54
41,2017,1,1,20,30,459,87,871,2.6,3.0,64.67
42,2017,1,1,21,0,324,140,460,2.5,3.0,66.51
43,2017,1,1,21,30,290,117,482,2.0,3.0,69.01
44,2017,1,1,22,0,241,111,423,1.6,3.0,72.10000000000002
45,2017,1,1,22,30,236,62,704,1.3,2.0,75.7
46,2017,1,1,23,0,157,50,596,1.0,1.0,79.74
47,2017,1,1,23,30,78,34,427,1.1,0.0,84.15
48,2017,1,2,0,0,14,14,0,1.2000000000000002,0.0,88.88
49,2017,1,2,0,30,0,0,0,1.4,0.0,93.86
50,2017,1,2,1,0,0,0,0,1.6,-1.0,99.06
51,2017,1,2,1,30,0,0,0,1.6,-1.0,104.43
52,2017,1,2,2,0,0,0,0,1.7000000000000002,-1.0,109.93
53,2017,1,2,2,30,0,0,0,1.6,0.0,115.54
54,2017,1,2,3,0,0,0,0,1.5,0.0,121.22
55,2017,1,2,3,30,0,0,0,1.4,0.0,126.93
56,2017,1,2,4,0,0,0,0,1.3,0.0,132.64
57,2017,1,2,4,30,0,0,0,1.2000000000000002,0.0,138.31
58,2017,1,2,5,0,0,0,0,1.2000000000000002,0.0,143.86
59,2017,1,2,5,30,0,0,0,1.1,0.0,149.20000000000005
60,2017,1,2,6,0,0,0,0,1.1,0.0,154.15
61,2017,1,2,6,30,0,0,0,1.1,0.0,158.4
62,2017,1,2,7,0,0,0,0,1.1,0.0,161.45000000000005
63,2017,1,2,7,30,0,0,0,1.1,0.0,162.63
64,2017,1,2,8,0,0,0,0,1.1,0.0,161.57
65,2017,1,2,8,30,0,0,0,1.1,0.0,158.61
66,2017,1,2,9,0,0,0,0,1.2000000000000002,0.0,154.41
67,2017,1,2,9,30,0,0,0,1.2000000000000002,0.0,149.49
68,2017,1,2,10,0,0,0,0,1.2000000000000002,0.0,144.16
69,2017,1,2,10,30,0,0,0,1.2000000000000002,0.0,138.62
70,2017,1,2,11,0,0,0,0,1.3,-1.0,132.95
71,2017,1,2,11,30,0,0,0,1.2000000000000002,-1.0,127.24
72,2017,1,2,12,0,0,0,0,1.1,-2.0,121.52
73,2017,1,2,12,30,0,0,0,0.9,-2.0,115.84
74,2017,1,2,13,0,0,0,0,0.8,-2.0,110.22
75,2017,1,2,13,30,0,0,0,0.7000000000000001,-2.0,104.71
76,2017,1,2,14,0,0,0,0,0.7000000000000001,-3.0,99.33
77,2017,1,2,14,30,0,0,0,0.7000000000000001,-3.0,94.12
78,2017,1,2,15,0,0,0,0,0.8,-3.0,89.11
79,2017,1,2,15,30,59,38,213,0.8,-2.0,84.37
80,2017,1,2,16,0,123,66,324,0.9,-2.0,79.93
81,2017,1,2,16,30,187,89,399,0.9,-1.0,75.86
82,2017,1,2,17,0,246,109,450,1.0,0.0,72.23
83,2017,1,2,17,30,297,108,530,1.3,0.0,69.10000000000001
84,2017,1,2,18,0,53,53,0,1.6,1.0,66.56
85,2017,1,2,18,30,22,22,0,1.6,1.0,64.67
86,2017,1,2,19,0,361,170,426,1.7000000000000002,1.0,63.5
87,2017,1,2,19,30,389,152,525,1.5,1.0,63.09
88,2017,1,2,20,0,383,176,463,1.4,1.0,63.44000000000001
89,2017,1,2,20,30,17,17,0,1.3,1.0,64.56
90,2017,1,2,21,0,62,62,0,1.3,1.0,66.39
91,2017,1,2,21,30,15,15,0,1.2000000000000002,0.0,68.88
92,2017,1,2,22,0,12,12,0,1.1,0.0,71.97
93,2017,1,2,22,30,9,9,0,1.0,0.0,75.56
94,2017,1,2,23,0,6,6,0,1.0,0.0,79.60000000000002
95,2017,1,2,23,30,3,3,0,1.0,0.0,84.01
96,2017,1,3,0,0,0,0,0,1.1,-1.0,88.74
97,2017,1,3,0,30,0,0,0,1.1,-1.0,93.72
98,2017,1,3,1,0,0,0,0,1.1,-2.0,98.92
99,2017,1,3,1,30,0,0,0,1.1,-2.0,104.29
100,2017,1,3,2,0,0,0,0,1.1,-3.0,109.79
101,2017,1,3,2,30,0,0,0,1.1,-3.0,115.4
102,2017,1,3,3,0,0,0,0,1.1,-3.0,121.07
103,2017,1,3,3,30,0,0,0,1.1,-3.0,126.79
104,2017,1,3,4,0,0,0,0,1.1,-4.0,132.5
105,2017,1,3,4,30,0,0,0,1.1,-4.0,138.17000000000002
106,2017,1,3,5,0,0,0,0,1.1,-4.0,143.72
107,2017,1,3,5,30,0,0,0,1.0,-4.0,149.06
108,2017,1,3,6,0,0,0,0,1.0,-4.0,154.01
109,2017,1,3,6,30,0,0,0,1.0,-4.0,158.26
110,2017,1,3,7,0,0,0,0,1.0,-4.0,161.33
111,2017,1,3,7,30,0,0,0,1.0,-4.0,162.53
112,2017,1,3,8,0,0,0,0,1.1,-5.0,161.51
113,2017,1,3,8,30,0,0,0,1.0,-5.0,158.58
114,2017,1,3,9,0,0,0,0,1.0,-5.0,154.4
115,2017,1,3,9,30,0,0,0,0.9,-5.0,149.5
116,2017,1,3,10,0,0,0,0,0.8,-5.0,144.19
117,2017,1,3,10,30,0,0,0,0.8,-5.0,138.65
118,2017,1,3,11,0,0,0,0,0.9,-6.0,132.99
119,2017,1,3,11,30,0,0,0,0.9,-6.0,127.27
