date,precipIntensity,precipProbability,precipAccumulation,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,windGust,cloudCover,uvIndex,visibility,ozone
2019-08-01 00:00:00,0,0,,,72.99,72.99,59.79,0.63,1015.7,3.25,9,4.58,0.06,0,10,297.8
2019-08-01 01:00:00,0.0009,0.01,,rain,71.23,71.23,58.93,0.65,1015.3,3.45,15,5.23,0.07,0,10,297.5
2019-08-01 02:00:00,0.0005,0.01,,rain,70.75,70.75,58.41,0.65,1015.2,3.81,21,5.46,0.1,0,10,296.9
2019-08-01 03:00:00,0,0,,,68.71,68.71,57.34,0.67,1015.7,3.89,37,5.87,0.11,0,10,296.7
2019-08-01 04:00:00,0.0012,0.02,,rain,68.73,68.73,56.58,0.65,1015.5,3.41,46,5.15,0.08,0,10,297.2
2019-08-01 05:00:00,0.0009,0.01,,rain,67.94,67.94,56.54,0.67,1015.6,3.43,52,5.15,0.04,0,10,298.1
2019-08-01 06:00:00,0.0005,0.01,,rain,68.26,68.26,56.29,0.66,1016.1,3.06,69,4.4,0,0,10,298.6
2019-08-01 07:00:00,0.0004,0.01,,rain,69.13,69.13,56.59,0.64,1016.3,2.92,56,4.47,0,0,10,299
2019-08-01 08:00:00,0,0,,,71.36,71.36,57.25,0.61,1016.6,2.72,107,3.95,0,0,10,299.3
2019-08-01 09:00:00,0.0005,0.01,,rain,76.31,76.31,58.7,0.54,1016.5,2.92,106,3.67,0,2,10,299.2
2019-08-01 10:00:00,0,0,,,80.41,81.04,59.32,0.49,1016.8,3.91,158,5.45,0,4,10,298.7
2019-08-01 11:00:00,0,0,,,83.77,83.77,59.01,0.43,1016.6,4.37,211,6.91,0.01,7,10,298
2019-08-01 12:00:00,0,0,,,86.51,86.51,58.32,0.39,1016.3,5.64,220,7.73,0.01,9,10,296.6
2019-08-01 13:00:00,0.0007,0.01,,rain,88.89,88.89,55.72,0.33,1015.3,6.42,230,8.65,0.01,10,10,296.3
2019-08-01 14:00:00,0.0002,0.01,,rain,91.3,91.3,53.07,0.27,1014.5,7.68,240,9.6,0.02,11,10,296.2
2019-08-01 15:00:00,0.0016,0.01,,rain,93.57,93.57,49.45,0.22,1013.3,8.13,237,10.18,0.02,9,10,296
2019-08-01 16:00:00,0.0003,0.01,,rain,95.41,95.41,46.08,0.19,1012.6,8.71,244,11.49,0.02,7,10,295.5
2019-08-01 17:00:00,0.0002,0.01,,rain,96.71,96.71,42.5,0.16,1011.9,9.42,250,11.9,0.01,5,10,294.8
2019-08-01 18:00:00,0.0004,0.01,,rain,95.64,95.64,42.51,0.16,1011.6,9.24,239,10.97,0.02,2,10,298.2
2019-08-01 19:00:00,0.0005,0.01,,rain,94.58,94.58,42.96,0.17,1011.5,8.66,247,11.24,0.02,1,10,298.3
2019-08-01 20:00:00,0,0,,,92.16,92.16,41.89,0.18,1012.1,7.44,262,10.57,0.01,0,10,298.2
2019-08-01 21:00:00,0.0006,0.01,,rain,88.05,88.05,42.71,0.21,1012.2,3.44,262,9.35,0.01,0,10,298.2
2019-08-01 22:00:00,0,0,,,83.09,83.09,43.74,0.25,1013,3.53,193,6.74,0,0,10,298.3
2019-08-01 23:00:00,0,0,,,80.49,80.49,44.62,0.28,1013.5,3.19,96,5.16,0,0,10,298.4
2019-08-02 00:00:00,0,0,,,78.79,78.79,45.55,0.31,1013.9,2.97,71,4.24,0,0,10,298.1
2019-08-02 01:00:00,0,0,,,77.34,77.34,44.8,0.32,1014.1,3.71,45,5.18,0,0,10,298.5
2019-08-02 02:00:00,0,0,,,77.03,77.03,44.75,0.32,1014.1,4.72,52,6.51,0.01,0,10,299.3
2019-08-02 03:00:00,0,0,,,75.93,75.93,44.75,0.33,1013.9,5.43,54,7.21,0.01,0,10,299.6
2019-08-02 04:00:00,0.0016,0.01,,rain,74.85,74.85,45.33,0.35,1014,5.7,52,7.97,0.03,0,10,299.6
2019-08-02 05:00:00,0,0,,,73.88,73.88,45.48,0.36,1014.2,5.56,55,7.87,0.04,0,10,299.5
2019-08-02 06:00:00,0.0007,0.01,,rain,74.43,74.43,45.01,0.35,1014.1,5.93,51,7.94,0.05,0,10,300.7
2019-08-02 07:00:00,0.0008,0.01,,rain,75.46,75.46,44.97,0.34,1014.5,5.31,71,7.03,0.04,0,10,300.7
2019-08-02 08:00:00,0,0,,,77.97,77.97,44.83,0.31,1014.9,4.55,78,6.11,0.02,0,10,300.5
2019-08-02 09:00:00,0.0014,0.01,,rain,82.66,82.66,45.65,0.27,1015,3.64,93,4.62,0.01,2,10,300.5
2019-08-02 10:00:00,0,0,,,86.75,86.75,44.6,0.23,1014.9,4.03,111,5.05,0,4,10,300.7
2019-08-02 11:00:00,0.0005,0.01,,rain,90.19,90.19,42.84,0.19,1014.6,4.14,231,5.85,0.01,6,10,301.3
2019-08-02 12:00:00,0.0003,0.01,,rain,92.82,92.82,40.44,0.16,1014.5,4.26,233,7.15,0.02,9,10,300.7
2019-08-02 13:00:00,0.0012,0.01,,rain,94.99,94.99,39.75,0.15,1013.7,5.05,236,7.58,0.06,10,10,300.4
2019-08-02 14:00:00,0,0,,,96.63,96.63,38.49,0.13,1013.1,5.44,214,7.74,0.13,10,10,299.9
2019-08-02 15:00:00,0,0,,,98.67,98.67,36.6,0.12,1012.3,5.84,227,8.31,0.24,8,10,299.1
2019-08-02 16:00:00,0.0017,0.01,,rain,99.78,99.78,35.94,0.11,1011.2,6.43,233,7.85,0.2,7,10,297.6
2019-08-02 17:00:00,0,0,,,100.35,100.35,35.3,0.11,1010.9,7.46,235,9.35,0.19,4,10,296
2019-08-02 18:00:00,0,0,,,98.31,98.31,39.01,0.13,1010.6,6.76,230,8.01,0.19,2,10,295.3
2019-08-02 19:00:00,0.0067,0.01,,rain,97.76,97.76,40.88,0.14,1010.1,6.18,246,8.25,0.19,1,10,300.1
2019-08-02 20:00:00,0.0023,0.01,,rain,95.45,95.45,42.34,0.16,1010.4,5.66,256,8.23,0.18,0,10,300.7
2019-08-02 21:00:00,0.0006,0.01,,rain,88.76,88.76,45.75,0.23,1010.9,3.22,249,6.86,0.2,0,10,301.1
2019-08-02 22:00:00,0,0,,,86.69,86.69,47.6,0.26,1012,3.41,6,6.97,0.46,0,10,300.7
2019-08-02 23:00:00,0.0005,0.01,,rain,86.15,86.15,47.67,0.26,1012.3,6.14,79,7.06,0.61,0,10,300
2019-08-03 00:00:00,0.0005,0.01,,rain,85.72,85.72,48.11,0.27,1012.9,4.05,53,5.39,0.83,0,10,299.7
2019-08-03 01:00:00,0,0,,,82.82,82.82,48.3,0.3,1013.2,4.46,21,5.74,0.9,0,10,298.9
2019-08-03 02:00:00,0.0003,0.01,,rain,82.7,82.7,48.32,0.3,1012.9,4.27,36,5.65,0.96,0,10,298.1
2019-08-03 03:00:00,0,0,,,81.25,81.25,48.97,0.32,1013.2,3.74,51,6.36,0.97,0,10,297.7
2019-08-03 04:00:00,0.001,0.01,,rain,78.14,78.14,48.76,0.36,1012.8,5.22,47,7.14,0.89,0,10,298.2
2019-08-03 05:00:00,0,0,,,78.81,78.81,48.89,0.35,1012.9,5.56,67,8.39,0.86,0,10,299.1
2019-08-03 06:00:00,0.0038,0.01,,rain,78.93,78.93,49.82,0.36,1013.2,5.34,56,7.21,0.79,0,10,301.9
2019-08-03 07:00:00,0.003,0.01,,rain,78.98,78.98,50.21,0.37,1013.2,4.59,45,6.66,0.81,0,10,302.1
2019-08-03 08:00:00,0.0032,0.01,,rain,80.93,80.93,50.3,0.34,1013.2,4.69,61,6.1,0.64,0,10,301.8
