,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2016,1,1,0,0,135,40,594,3.8,9.0,80.79
1,2016,1,1,0,30,55,24,396,3.8,8.0,85.59
2,2016,1,1,1,0,0,0,0,3.9,7.0,90.67
3,2016,1,1,1,30,0,0,0,3.9,7.0,95.98
4,2016,1,1,2,0,0,0,0,4.0,7.0,101.48
5,2016,1,1,2,30,0,0,0,3.9,6.0,107.13
6,2016,1,1,3,0,0,0,0,3.8,6.0,112.89
7,2016,1,1,3,30,0,0,0,3.6,6.0,118.74
8,2016,1,1,4,0,0,0,0,3.5,6.0,124.66
9,2016,1,1,4,30,0,0,0,3.4000000000000004,6.0,130.6
10,2016,1,1,5,0,0,0,0,3.4000000000000004,6.0,136.54
11,2016,1,1,5,30,0,0,0,3.3000000000000003,6.0,142.43
12,2016,1,1,6,0,0,0,0,3.2,6.0,148.19
13,2016,1,1,6,30,0,0,0,3.1,5.0,153.72
14,2016,1,1,7,0,0,0,0,3.0,5.0,158.78
15,2016,1,1,7,30,0,0,0,2.9000000000000004,5.0,162.91
16,2016,1,1,8,0,0,0,0,2.8000000000000003,5.0,165.3
17,2016,1,1,8,30,0,0,0,2.8000000000000003,5.0,165.06
18,2016,1,1,9,0,0,0,0,2.8000000000000003,5.0,162.3
19,2016,1,1,9,30,0,0,0,2.9000000000000004,4.0,157.96
20,2016,1,1,10,0,0,0,0,3.0,4.0,152.8
21,2016,1,1,10,30,0,0,0,3.1,4.0,147.22
22,2016,1,1,11,0,0,0,0,3.2,4.0,141.42000000000004
23,2016,1,1,11,30,0,0,0,3.3000000000000003,4.0,135.52
24,2016,1,1,12,0,0,0,0,3.4000000000000004,4.0,129.58
25,2016,1,1,12,30,0,0,0,3.5,3.0,123.63
26,2016,1,1,13,0,0,0,0,3.6,3.0,117.73
27,2016,1,1,13,30,0,0,0,3.6,3.0,111.88
28,2016,1,1,14,0,0,0,0,3.6,3.0,106.13
29,2016,1,1,14,30,0,0,0,3.5,3.0,100.51
30,2016,1,1,15,0,0,0,0,3.5,3.0,95.04
31,2016,1,1,15,30,0,0,0,3.5,3.0,89.76
32,2016,1,1,16,0,65,31,366,3.6,4.0,84.72
33,2016,1,1,16,30,144,47,556,3.7,5.0,79.96000000000002
34,2016,1,1,17,0,226,59,671,3.8,6.0,75.55
35,2016,1,1,17,30,303,67,746,3.8,6.0,71.56
36,2016,1,1,18,0,371,73,796,3.8,7.0,68.06
37,2016,1,1,18,30,427,78,831,3.7,7.0,65.13
38,2016,1,1,19,0,471,81,853,3.6,8.0,62.85
39,2016,1,1,19,30,500,83,867,3.4000000000000004,8.0,61.31
40,2016,1,1,20,0,514,84,873,3.2,9.0,60.55
41,2016,1,1,20,30,512,84,872,3.0,9.0,60.62000000000001
42,2016,1,1,21,0,497,81,873,2.8000000000000003,9.0,61.49
43,2016,1,1,21,30,466,79,857,2.5,9.0,63.15
44,2016,1,1,22,0,421,74,835,2.4000000000000004,9.0,65.53
45,2016,1,1,22,30,362,70,798,2.3000000000000003,9.0,68.55
46,2016,1,1,23,0,293,63,747,2.2,9.0,72.13
47,2016,1,1,23,30,215,55,667,2.1,8.0,76.19
48,2016,1,2,0,0,132,44,546,2.0,8.0,80.66
49,2016,1,2,0,30,54,27,344,2.1,8.0,85.46000000000002
50,2016,1,2,1,0,0,0,0,2.2,8.0,90.53
51,2016,1,2,1,30,0,0,0,2.3000000000000003,7.0,95.85
52,2016,1,2,2,0,0,0,0,2.5,7.0,101.34
53,2016,1,2,2,30,0,0,0,2.6,7.0,106.99
54,2016,1,2,3,0,0,0,0,2.7,7.0,112.75
55,2016,1,2,3,30,0,0,0,2.6,7.0,118.61
56,2016,1,2,4,0,0,0,0,2.6,7.0,124.52
57,2016,1,2,4,30,0,0,0,2.5,7.0,130.46
58,2016,1,2,5,0,0,0,0,2.5,7.0,136.4
59,2016,1,2,5,30,0,0,0,2.5,6.0,142.29
60,2016,1,2,6,0,0,0,0,2.5,6.0,148.06
61,2016,1,2,6,30,0,0,0,2.5,6.0,153.58
62,2016,1,2,7,0,0,0,0,2.5,6.0,158.64
63,2016,1,2,7,30,0,0,0,2.4000000000000004,6.0,162.78
64,2016,1,2,8,0,0,0,0,2.4000000000000004,6.0,165.20000000000005
65,2016,1,2,8,30,0,0,0,2.4000000000000004,6.0,165.0
66,2016,1,2,9,0,0,0,0,2.4000000000000004,6.0,162.29
67,2016,1,2,9,30,0,0,0,2.4000000000000004,6.0,157.97
68,2016,1,2,10,0,0,0,0,2.5,6.0,152.83
69,2016,1,2,10,30,0,0,0,2.5,6.0,147.26
70,2016,1,2,11,0,0,0,0,2.6,6.0,141.47
71,2016,1,2,11,30,0,0,0,2.6,6.0,135.57
72,2016,1,2,12,0,0,0,0,2.7,6.0,129.63
73,2016,1,2,12,30,0,0,0,2.7,6.0,123.68
74,2016,1,2,13,0,0,0,0,2.8000000000000003,6.0,117.77
75,2016,1,2,13,30,0,0,0,3.0,6.0,111.93
76,2016,1,2,14,0,0,0,0,3.2,6.0,106.18
77,2016,1,2,14,30,0,0,0,3.3000000000000003,5.0,100.55
78,2016,1,2,15,0,0,0,0,3.5,5.0,95.07
79,2016,1,2,15,30,0,0,0,3.6,6.0,89.78
80,2016,1,2,16,0,40,33,74,3.8,7.0,84.73
81,2016,1,2,16,30,90,67,134,3.8,7.0,79.97
82,2016,1,2,17,0,143,100,171,3.9,8.0,75.55
83,2016,1,2,17,30,192,131,193,3.8,8.0,71.55
84,2016,1,2,18,0,238,154,225,3.8,9.0,68.03
85,2016,1,2,18,30,273,179,222,3.9,9.0,65.09
86,2016,1,2,19,0,237,199,85,4.1000000000000005,10.0,62.8
87,2016,1,2,19,30,139,139,0,4.3,10.0,61.24
88,2016,1,2,20,0,297,222,151,4.5,11.0,60.47
89,2016,1,2,20,30,257,216,81,4.6000000000000005,11.0,60.52
90,2016,1,2,21,0,334,205,269,4.7,12.0,61.39
91,2016,1,2,21,30,347,172,387,4.7,12.0,63.03
92,2016,1,2,22,0,313,162,362,4.7,12.0,65.4
93,2016,1,2,22,30,167,149,50,4.5,12.0,68.42
94,2016,1,2,23,0,135,122,40,4.3,12.0,72.0
95,2016,1,2,23,30,98,91,29,3.8,11.0,76.06
96,2016,1,3,0,0,61,58,13,3.3000000000000003,11.0,80.52
97,2016,1,3,0,30,25,25,0,3.4000000000000004,10.0,85.32000000000002
98,2016,1,3,1,0,0,0,0,3.5,10.0,90.39
99,2016,1,3,1,30,0,0,0,3.7,10.0,95.71
100,2016,1,3,2,0,0,0,0,3.9,10.0,101.2
101,2016,1,3,2,30,0,0,0,4.1000000000000005,9.0,106.85
102,2016,1,3,3,0,0,0,0,4.3,9.0,112.62
103,2016,1,3,3,30,0,0,0,4.4,9.0,118.47
104,2016,1,3,4,0,0,0,0,4.6000000000000005,9.0,124.38
105,2016,1,3,4,30,0,0,0,4.6000000000000005,9.0,130.33
106,2016,1,3,5,0,0,0,0,4.800000000000002,9.0,136.27
107,2016,1,3,5,30,0,0,0,4.9,8.0,142.15
108,2016,1,3,6,0,0,0,0,5.0,8.0,147.92000000000004
109,2016,1,3,6,30,0,0,0,5.1000000000000005,8.0,153.44
110,2016,1,3,7,0,0,0,0,5.300000000000002,8.0,158.5
111,2016,1,3,7,30,0,0,0,5.300000000000002,8.0,162.65
112,2016,1,3,8,0,0,0,0,5.4,8.0,165.09
113,2016,1,3,8,30,0,0,0,5.300000000000002,8.0,164.94
114,2016,1,3,9,0,0,0,0,5.300000000000002,8.0,162.27
115,2016,1,3,9,30,0,0,0,5.300000000000002,8.0,157.98
116,2016,1,3,10,0,0,0,0,5.4,8.0,152.86
117,2016,1,3,10,30,0,0,0,5.5,8.0,147.3
118,2016,1,3,11,0,0,0,0,5.6000000000000005,8.0,141.51
119,2016,1,3,11,30,0,0,0,5.800000000000002,8.0,135.61
120,2016,1,3,12,0,0,0,0,6.1000000000000005,8.0,129.67000000000002
121,2016,1,3,12,30,0,0,0,6.1000000000000005,8.0,123.73
122,2016,1,3,13,0,0,0,0,6.1000000000000005,8.0,117.82
123,2016,1,3,13,30,0,0,0,5.6000000000000005,8.0,111.97
124,2016,1,3,14,0,0,0,0,5.2,8.0,106.21
125,2016,1,3,14,30,0,0,0,4.800000000000002,8.0,100.58
126,2016,1,3,15,0,0,0,0,4.5,8.0,95.09
127,2016,1,3,15,30,0,0,0,4.3,8.0,89.8
128,2016,1,3,16,0,7,7,0,4.1000000000000005,9.0,84.74
129,2016,1,3,16,30,16,16,0,3.9,9.0,79.97
130,2016,1,3,17,0,25,25,0,3.7,10.0,75.54
131,2016,1,3,17,30,33,33,0,3.5,10.0,71.53
132,2016,1,3,18,0,41,41,0,3.3000000000000003,11.0,68.0
133,2016,1,3,18,30,138,138,0,3.4000000000000004,11.0,65.04
134,2016,1,3,19,0,136,136,0,3.6,12.0,62.74
135,2016,1,3,19,30,267,215,108,4.0,12.0,61.17
136,2016,1,3,20,0,286,223,128,4.4,12.0,60.38
