date,precipIntensity,precipProbability,precipAccumulation,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,windGust,cloudCover,uvIndex,visibility,ozone,production
,0.0,0.0,,,46.05,42.98,-5.71,0.11,1021.1,5.98,66,7.77,0.0,0,10.0,255.3,
,0.0,0.0,,,46.05,42.98,-5.71,0.11,1021.1,5.98,66,7.77,0.0,0,10.0,255.3,
,0.0,0.0,,,46.05,42.98,-5.71,0.11,1021.1,5.98,66,7.77,0.0,0,10.0,255.3,
,0.0,0.0,,,46.05,42.98,-5.71,0.11,1021.1,5.98,66,7.77,0.0,0,10.0,255.3,
,0.0,0.0,,,45.24,41.84,-4.23,0.12,1021.1,6.27,62,8.23,0.0,0,10.0,254.6,
,0.0,0.0,,,45.24,41.84,-4.23,0.12,1021.1,6.27,62,8.23,0.0,0,10.0,254.6,
,0.0,0.0,,,45.24,41.84,-4.23,0.12,1021.1,6.27,62,8.23,0.0,0,10.0,254.6,
,0.0,0.0,,,45.24,41.84,-4.23,0.12,1021.1,6.27,62,8.23,0.0,0,10.0,254.6,
2019-08-14 00:00:00-06:00,0.0,0.0,,,77.4,77.4,11.41,0.08,1014.8,4.85,43,6.95,0.0,0,10.0,295.6,
2019-08-14 01:00:00-06:00,0.0,0.0,,,75.65,75.65,12.5,0.09,1015.2,4.76,49,6.8,0.0,0,10.0,295.5,
2019-08-14 02:00:00-06:00,0.0,0.0,,,74.5,74.5,12.92,0.09,1015.4,4.93,57,6.85,0.0,0,10.0,295.0,
2019-08-14 03:00:00-06:00,0.0,0.0,,,73.53,73.53,13.49,0.1,1015.4,5.8,53,7.11,0.0,0,10.0,294.3,
2019-08-14 04:00:00-06:00,0.0,0.0,,,71.55,71.55,15.18,0.11,1015.5,5.21,59,7.55,0.0,0,10.0,293.1,
2019-08-14 05:00:00-06:00,0.0,0.0,,,69.44,69.44,15.44,0.12,1015.9,6.68,48,7.79,0.0,0,10.0,291.7,
2019-08-14 06:00:00-06:00,0.0,0.0,,,68.99,68.99,16.24,0.13,1016.0,6.22,47,7.51,0.0,0,10.0,290.5,
2019-08-14 07:00:00-06:00,0.0,0.0,,,70.03,70.03,18.9,0.14,1016.7,6.17,46,7.2,0.0,0,10.0,290.1,
2019-08-14 08:00:00-06:00,0.0,0.0,,,73.91,73.91,19.07,0.13,1016.8,4.55,57,6.47,0.0,0,10.0,290.1,466.0
2019-08-14 09:00:00-06:00,0.0,0.0,,,80.09,80.09,17.7,0.1,1016.6,3.32,90,4.7,0.0,2,10.0,291.2,936.0
2019-08-14 10:00:00-06:00,0.0,0.0,,,85.81,85.81,14.56,0.07,1016.3,2.93,141,4.89,0.0,4,10.0,291.0,1294.0
2019-08-14 11:00:00-06:00,0.0,0.0,,,90.24,90.24,10.98,0.05,1016.1,3.59,195,5.4,0.0,6,10.0,290.4,1528.0
2019-08-14 12:00:00-06:00,0.0,0.0,,,93.71,93.71,7.99,0.04,1015.9,4.5,217,6.87,0.0,9,10.0,290.2,1654.0
2019-08-14 13:00:00-06:00,0.0,0.0,,,95.86,95.86,5.8,0.03,1014.9,5.45,232,7.8,0.0,10,10.0,290.0,1691.0
2019-08-14 14:00:00-06:00,0.0,0.0,,,97.31,97.31,4.98,0.03,1014.1,6.73,233,8.91,0.0,10,10.0,290.0,1625.0
2019-08-14 15:00:00-06:00,0.0,0.0,,,99.24,99.24,2.11,0.03,1013.5,7.32,231,9.51,0.0,9,10.0,293.6,1501.0
2019-08-14 16:00:00-06:00,0.0,0.0,,,101.05,101.05,-0.67,0.02,1012.8,7.76,247,9.05,0.0,7,10.0,293.2,1267.0
2019-08-14 17:00:00-06:00,0.0,0.0,,,102.2,102.2,-2.89,0.02,1011.7,7.52,259,9.04,0.0,4,10.0,292.8,930.0
2019-08-14 18:00:00-06:00,0.0,0.0,,,101.77,101.77,-1.95,0.02,1011.4,7.66,242,8.81,0.0,2,10.0,292.4,526.0
2019-08-14 19:00:00-06:00,0.0,0.0,,,98.11,98.11,1.37,0.03,1011.8,7.25,212,9.01,0.0,1,10.0,290.3,174.0
2019-08-14 20:00:00-06:00,0.0,0.0,,,95.35,95.35,1.07,0.03,1011.8,6.49,301,11.03,0.0,0,10.0,290.5,10.0
2019-08-14 21:00:00-06:00,0.0,0.0,,,86.44,86.44,3.52,0.04,1013.0,4.27,335,6.23,0.0,0,10.0,289.9,
2019-08-14 22:00:00-06:00,0.0,0.0,,,82.34,82.34,3.61,0.05,1013.5,5.08,343,6.45,0.0,0,10.0,289.0,
2019-08-14 23:00:00-06:00,0.0,0.0,,,79.54,79.54,3.94,0.05,1013.8,5.79,12,7.27,0.0,0,10.0,287.8,
2019-08-15 00:00:00-06:00,0.0,0.0,,,78.78,78.78,6.68,0.06,1013.8,5.45,44,7.57,0.0,0,10.0,288.4,
2019-08-15 01:00:00-06:00,0.0,0.0,,,76.72,76.72,6.19,0.06,1013.9,5.78,31,8.02,0.0,0,10.0,288.6,
2019-08-15 02:00:00-06:00,0.0,0.0,,,76.9,76.9,6.58,0.07,1013.7,6.59,49,8.19,0.0,0,10.0,289.1,
2019-08-15 03:00:00-06:00,0.0008,0.01,,rain,73.31,73.31,8.3,0.08,1014.0,6.14,54,7.64,0.0,0,10.0,289.5,
2019-08-15 04:00:00-06:00,0.0,0.0,,,72.03,72.03,10.81,0.09,1013.9,6.16,53,8.19,0.0,0,10.0,289.8,
2019-08-15 05:00:00-06:00,0.0,0.0,,,72.29,72.29,11.67,0.1,1014.4,6.63,46,8.09,0.0,0,10.0,289.9,
2019-08-15 06:00:00-06:00,0.0,0.0,,,71.19,71.19,11.4,0.1,1014.6,5.96,47,7.59,0.0,0,10.0,291.1,
2019-08-15 07:00:00-06:00,0.0,0.0,,,72.22,72.22,11.98,0.1,1015.0,5.82,48,6.71,0.01,0,10.0,290.9,15.0
2019-08-15 08:00:00-06:00,0.0,0.0,,,76.18,76.18,13.1,0.09,1014.9,5.08,54,5.79,0.01,0,10.0,290.5,448.0
2019-08-15 09:00:00-06:00,0.0,0.0,,,81.47,81.47,12.76,0.07,1014.8,3.19,90,3.85,0.02,2,10.0,289.8,923.0
2019-08-15 10:00:00-06:00,0.0,0.0,,,87.46,87.46,11.2,0.06,1014.6,2.94,152,4.33,0.02,4,10.0,288.8,1271.0
2019-08-15 11:00:00-06:00,0.0,0.0,,,92.26,92.26,9.38,0.05,1014.4,4.15,200,5.67,0.01,6,10.0,287.6,1504.0
2019-08-15 12:00:00-06:00,0.0,0.0,,,95.58,95.58,6.02,0.04,1013.8,5.18,223,7.39,0.01,9,10.0,290.1,1634.0
2019-08-15 13:00:00-06:00,0.0,0.0,,,97.84,97.84,5.47,0.03,1013.2,6.66,225,8.82,0.0,10,10.0,290.1,1663.0
2019-08-15 14:00:00-06:00,0.0,0.0,,,100.76,100.76,5.2,0.03,1012.2,7.72,237,9.75,0.0,10,10.0,290.0,1603.0
2019-08-15 15:00:00-06:00,0.0,0.0,,,102.57,102.57,5.91,0.03,1010.6,7.65,240,10.19,0.0,9,10.0,289.6,1475.0
2019-08-15 16:00:00-06:00,0.0,0.0,,,104.04,104.04,5.35,0.03,1009.6,8.43,249,10.25,0.0,7,10.0,289.0,1231.0
2019-08-15 17:00:00-06:00,0.0,0.0,,,103.59,103.59,5.39,0.03,1009.3,8.84,251,11.15,0.0,4,10.0,288.2,903.0
2019-08-15 18:00:00-06:00,0.0013,0.01,,rain,101.02,101.02,10.81,0.04,1008.9,9.65,252,10.96,0.0,2,10.0,288.2,518.0
2019-08-15 19:00:00-06:00,0.0,0.0,,,99.23,99.23,11.99,0.04,1009.1,8.67,210,11.32,0.0,1,10.0,288.0,182.0
2019-08-15 20:00:00-06:00,0.0,0.0,,,95.42,95.42,12.35,0.05,1009.5,7.52,291,12.31,0.0,0,10.0,288.0,16.0
2019-08-15 21:00:00-06:00,0.0,0.0,,,87.26,87.26,14.26,0.07,1010.0,3.88,284,11.76,0.0,0,10.0,288.0,
2019-08-15 22:00:00-06:00,0.0,0.0,,,84.08,84.08,14.83,0.07,1010.5,4.44,330,7.38,0.0,0,10.0,287.9,
